session_id,attempt_number,guess,correct_letters,correct_positions
ab38635a07ede4246661,1,TEMPO,0,5
67d40a22cba1a16fd2c5,1,NOVAS,1,0
67d40a22cba1a16fd2c5,2,OUVIR,0,0
67d40a22cba1a16fd2c5,3,NOVAS,1,0
67d40a22cba1a16fd2c5,4,VAPOR,0,1
67d40a22cba1a16fd2c5,5,JOGAR,1,0
67d40a22cba1a16fd2c5,6,OUTRA,0,1
3635c5707f62ea022423,1,GOLPE,0,1
3635c5707f62ea022423,2,MANGA,0,2
3635c5707f62ea022423,3,FALHA,0,5
27243d4c7b1669f71ba7,1,LENTO,0,2
27243d4c7b1669f71ba7,2,FICHA,1,0
27243d4c7b1669f71ba7,3,TROÇA,3,1
27243d4c7b1669f71ba7,4,HERÓI,1,0
27243d4c7b1669f71ba7,5,ACHAR,2,0
27243d4c7b1669f71ba7,6,USADO,0,2
cd21162dd072f066c160,1,IDEIA,0,5
d4063251e29a7fa33e79,1,SENDO,2,0
d4063251e29a7fa33e79,2,NUNCA,0,2
d4063251e29a7fa33e79,3,SOBRE,1,0
d4063251e29a7fa33e79,4,GESTO,1,0
d4063251e29a7fa33e79,5,SENDO,2,0
d4063251e29a7fa33e79,6,BURRO,0,1
3d35b151eead0030fbea,1,MUITO,0,0
3d35b151eead0030fbea,2,RAZÃO,0,1
3d35b151eead0030fbea,3,DANÇA,0,5
bb3b9e4ce4a8e58d8069,1,VAPOR,4,0
bb3b9e4ce4a8e58d8069,2,IMAGE,0,1
bb3b9e4ce4a8e58d8069,3,PRATO,0,5
0e90edb72b9e656f930f,1,BARCO,0,5
3b8b988d281cc74651b1,1,PLANO,0,5
06ef2870c5e9e1415519,1,CORVO,0,5
96429356293c5d37dbe0,1,URGIR,0,1
96429356293c5d37dbe0,2,TROCO,0,5
cf786233f2623e336123,1,POMBO,0,1
cf786233f2623e336123,2,PODER,3,0
cf786233f2623e336123,3,GENRO,0,5
a4bbf841c1dd1fb00040,1,LUGAR,2,0
a4bbf841c1dd1fb00040,2,GREVE,0,1
a4bbf841c1dd1fb00040,3,MILHO,0,1
a4bbf841c1dd1fb00040,4,SALVO,1,1
a4bbf841c1dd1fb00040,5,VAZIO,1,1
a4bbf841c1dd1fb00040,6,TEMPO,2,1
f7500059c34402ed5ac6,1,NUVEM,0,5
b43bde6721e401b3c248,1,NOBRE,1,0
b43bde6721e401b3c248,2,OUTRA,1,1
b43bde6721e401b3c248,3,METAL,0,5
